peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M392T750_POS,392.1518246344758,392.1512329998116,392.15219898349545,750.278,749.864,750.784,4,4,355146.9937406316,389664.67750670016,551202.0248391943,338990.9305390596
M392T797_2_POS,392.17110963299143,392.17093028592114,392.1716658420488,796.6669999999999,796.618,797.389,4,4,758640.0027555743,561871.3369746129,473074.0415624996,551811.0005761718
M392T923_POS,392.17615263662424,392.17608528084827,392.1762586903423,922.709,922.505,923.386,3,3,106384.86657695257,88374.31636015698,125745.18357910372,NA
M392T851_POS,392.17910051808207,392.17832100819976,392.1797002732387,851.038,849.358,852.582,3,3,NA,222786.1414570321,355915.7573125021,340208.0874726545
M392T488_POS,392.22605360433454,392.2259306322152,392.22621901498627,487.53200000000004,487.479,487.707,4,4,686527.3484835112,660790.1983718736,685980.0472499976,653755.3439257824
M392T760_POS,392.2479771026396,392.2478230321914,392.2481311730878,759.877,759.836,759.918,2,2,7114531.642507861,NA,NA,6532574.472611438
M392T734_POS,392.2480137102858,392.2478681510867,392.24817390210416,734.0635,733.995,734.168,4,4,12377845.905321278,12109725.209636692,10721217.099164823,12835590.325578148
M392T913_POS,392.31240931510416,392.3123111132217,392.31253675394316,912.6205,903.505,915.194,4,3,583690.1974098332,NA,276239.19721406134,331504.2990757216
M393T915_POS,392.8162317593005,392.81616323759636,392.8163002810046,914.6990000000001,910.034,919.364,2,2,NA,40787.974141519604,NA,51858.52714355472
M393T414_POS,393.07060557043735,393.06928436677504,393.07075745355223,414.2715,414.136,414.866,4,4,213885.6616203143,171443.7010171866,154415.42656601607,241934.9919305256
M393T255_POS,393.08658867166093,393.0864253590825,393.0866457136492,254.812,252.907,255.579,4,4,8332371.412263891,8088991.479427385,8549134.524632815,8972626.482169637
M393T473_POS,393.1137871520099,393.11346425139305,393.1150512407591,472.836,458.666,473.509,5,4,11726142.130887646,11161099.499680927,11422265.532283729,12100720.169476558
M393T579_POS,393.11363048167993,393.11360713651794,393.113653826842,578.846,578.8,578.892,2,2,703846.0048467859,NA,619493.2221927076,NA
M393T348_POS,393.1332068405229,393.13236160451396,393.1336880519284,347.9735,347.423,348.242,4,4,1652544.7829261713,1778655.2851406191,1485759.03217734,1851428.296726563
M393T326_POS,393.1378724258264,393.1376109356926,393.13813527297793,326.39,325.685,326.745,3,3,220881.26962890878,216565.3059390615,195485.53988671873,NA
M393T488_POS,393.15043006185385,393.1503166258358,393.150889233646,488.35699999999997,488.31,489.36,4,4,388769.25224609696,418953.04004687385,469332.24811914045,406907.63947721425
M393T184_POS,393.1506253902335,393.15042929582285,393.150932256267,183.755,182.747,184.26,4,4,615908.625125001,550363.8403124998,590011.9939531252,642999.9691541196
M393T383_POS,393.1539713547213,393.1538824147229,393.1542742704558,382.97,382.603,383.558,3,3,382045.2952476563,NA,457138.050562499,466693.1589589855
M393T585_POS,393.16610445832794,393.165272494626,393.166634448212,585.49,585.443,585.571,4,4,8356103.09225554,8451875.001120888,8489454.518718772,8666064.435037911
M393T600_POS,393.1655797040139,393.16517549148926,393.16633087672983,599.6255,599.583,599.686,4,4,7770145.791217492,8260381.126860955,8154334.518346269,8220248.80055353
M393T649_POS,393.1873379711768,393.1871533256675,393.1873786432005,648.6845000000001,648.622,648.702,4,4,3884676.7355473205,3761715.8363331542,3586247.026696864,4110461.5736392015
M393T573_POS,393.18744092246055,393.1873137990332,393.1875659367439,572.968,572.966,573.064,3,3,177447.75753281213,NA,162166.85107656513,210927.17830077902
M393T468_POS,393.187417807007,393.18732768865266,393.1875290714228,467.872,461.876,469.274,3,2,2937691.625062497,5322403.788621652,NA,NA
M393T337_POS,393.2079775633986,393.2077615301286,393.2084948108768,336.64,335.489,337.256,4,4,346083.8584781274,359049.73829062335,443621.6699238259,390815.26120396255
M393T767_POS,393.2240006190025,393.223732107194,393.2240645018401,766.946,766.5,767.469,4,4,67739608.06053591,67721131.05795969,66673191.53762742,74974284.46524045
M393T718_POS,393.2238122449736,393.2232498084143,393.22396816587514,717.59,716.944,717.632,4,4,32973039.219989076,30904212.946473993,33277555.668139625,31180343.628922686
M393T674_POS,393.224417507102,393.22433388605714,393.22450112814687,673.61,670.293,676.927,2,2,177149.7066968795,NA,177120.71387343874,NA
M393T314_POS,393.2463364665838,393.2460731337657,393.2466226678889,313.576,313.306,314.007,4,4,639290.0945019571,577782.3162430546,596994.9242896212,548708.7436718753
M393T750_POS,393.25937492416983,393.2593551681444,393.25946792489646,749.9835,749.864,750.588,4,4,10930120.204355765,10482676.961754719,10012947.909726577,10051255.462500041
M393T735_POS,393.25030662860945,393.2499980568154,393.25059496412024,734.855,734.096,734.95,4,4,1740506.7508715387,1158254.5182978383,800179.3558093844,1320945.5067304608
M393T890_POS,393.2598471901707,393.2592897516599,393.26000050691715,890.159,889.993,890.818,4,4,520684.05940104113,417604.13989508356,529697.0333062484,491060.85330113466
M393T728_POS,393.285378576707,393.2849828783416,393.2856145416535,728.2695000000001,728.241,728.351,4,4,2324269.3280124855,2468506.6101093637,2281915.7067187647,2726101.9724721056
M393T903_POS,393.2964926956443,393.2964428933361,393.2966072043979,902.503,900.982,903.367,3,3,NA,5002105.806234663,540425.3596457005,644320.7978285087
M394T97_POS,393.98178350111266,393.98168004714023,393.98196431715735,97.3331,96.7785,97.5506,4,4,2135307.5307661444,2508946.5540398434,1738671.7634257835,2672012.2591677927
M394T451_POS,394.0422751057245,394.04157181105205,394.04245150243,451.4605,451.395,452.391,4,4,633135.8761333722,617462.6597695276,747512.7747633904,526357.9042912944
