peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M223T451_3_NEG,223.40141767723145,223.40115113988975,223.40196813678156,450.8165,450.699,452.67,4,4,193676.97883138058,809055.7506862973,1187454.107147622,1162309.9722159572
M224T71_NEG,224.00458662844466,224.00449139452516,224.004796182959,70.9243,70.8609,70.9548,3,3,974641.931614841,NA,988282.8628389337,948998.8972749992
M224T348_NEG,224.02767294188854,224.02757514614436,224.02773076508524,347.65,347.581,347.831,4,4,1707379.4551390458,1793117.4457734383,1275180.0177859503,2074642.4647770417
M224T930_NEG,224.02120308789222,224.02102926275148,224.02134332367365,930.1949999999999,930.002,931.151,4,4,5564436.659987228,5679937.568378439,4238366.672703133,5590238.071663781
M224T703_NEG,224.0212939033059,224.02105804714114,224.02139771599406,703.2729999999999,703.128,703.825,4,4,8764178.066602267,7799903.531002243,7091809.544889188,10779892.172091752
M224T451_NEG,224.06417991219317,224.05629185156002,224.06426691078013,450.766,437.417,450.995,5,4,56018255.83277017,54444924.20991524,58280991.27401965,56928005.641142905
M224T393_NEG,224.05636265999254,224.0562805231167,224.0563965240189,392.50350000000003,391.597,392.688,4,4,776350.5137024191,628154.8737374134,664515.3475500477,666087.474096876
M224T108_NEG,224.05633832605906,224.05627389027276,224.05639813426458,107.626,106.852,107.738,4,4,67171416.56801419,70415533.30889046,69383816.13168854,72861699.96981512
M224T221_NEG,224.053816922716,224.05372679453777,224.0538285002712,221.111,220.621,222.37,4,4,578582.296049362,569117.1229143057,610610.9910096155,646498.4507785876
M224T562_NEG,224.10078006495485,224.10075443395056,224.10080569595917,562.2785,562.258,562.299,2,2,NA,526821.7470812469,NA,509995.71588983806
M224T711_NEG,224.13670829323166,224.13663250394896,224.1367211920238,710.732,710.526,710.843,4,4,4097497.3964420184,3805587.6445458895,3686675.517992619,4003288.861933233
M225T945_NEG,224.9087213597,224.9086513910834,224.9087667378205,945.3045,945.062,945.605,4,4,2593784.5640733656,2031288.0654056976,1623432.9863046869,1073007.2113525355
M225T980_NEG,224.9209108082531,224.920891774062,224.920954827296,979.9185,974.434,984.59,4,4,5213340.307784688,4816384.969585929,3285168.4390625004,6070889.761141825
M225T1062_NEG,224.9209138359356,224.9209018383843,224.92108470032449,1062.3,1053.39,1062.77,3,3,2331623.199160633,NA,1300061.3191932065,1251602.6483559748
M225T1043_NEG,224.9209311718737,224.9209311133966,224.92093123035082,1043.085,1041.58,1044.59,2,2,NA,1330909.3042151837,821216.4330357239,NA
M225T914_NEG,224.9239958786369,224.92393675588093,224.92405500139287,914.2655,913.862,914.669,2,2,NA,NA,2173409.6591155357,1960475.5846176755
M225T1028_NEG,224.92100362841504,224.92094619015413,224.92106106667595,1028.27,1026.87,1029.67,2,2,NA,1202109.3134076411,NA,1004017.5780719976
M225T1008_NEG,224.92091614547138,224.92086673940764,224.92096555153515,1008.27,1007.29,1009.25,2,2,NA,2030451.675196562,1405407.175131834,NA
M225T450_NEG,225.0648877339694,225.06480168519403,225.0651215335339,449.9815,449.864,450.158,4,4,3192808.8383749984,3235162.0656094016,3249457.330111585,2574071.8755833297
M225T65_NEG,225.06154561956743,225.06133694052457,225.061570217048,65.32705,64.5439,65.3803,4,4,19699710.18525441,18024931.082922667,18223533.887877606,18218039.191613972
M225T108_NEG,225.05994180410983,225.05962172637086,225.0603607586732,107.626,106.852,107.738,4,4,10226586.427782813,10126863.466361966,10635958.846676039,10290937.522223253
M225T393_NEG,225.11293207760738,225.11284909419808,225.11301482863942,392.50350000000003,392.426,392.688,4,4,25850284.3760927,25423256.71144229,26015086.46314295,25497345.549068194
M226T981_NEG,225.89729163656065,225.89722683072586,225.89739241097587,980.5060000000001,979.066,984.59,4,4,6599694.176815312,5082603.308783432,7182223.18881565,7232853.530872972
M226T1052_NEG,225.89722667353473,225.89704562420948,225.89730322291234,1052.17,1046.24,1057.54,4,4,2210880.2677499787,1551954.55078125,1576945.4608632745,1429193.021484375
M226T1034_NEG,225.89730452884078,225.89723820052825,225.89732882292978,1033.81,1028.52,1036.61,3,3,NA,1598308.558442112,1766662.773231908,2150122.0022727284
M226T1018_NEG,225.897203597866,225.89702073142024,225.8973245859549,1018.07,1009.25,1021.33,3,3,3054534.7902633105,1852577.5596415333,1754265.2871041582,NA
M226T69_NEG,225.9263766163131,225.92629925562812,225.92642581434228,68.94749999999999,68.5618,69.401,4,4,126656028.2217969,119080781.22943178,126969219.26340222,131047194.11187789
M226T930_NEG,226.00048761375817,226.00039112203095,226.00054791902878,930.1949999999999,930.002,930.397,4,4,14834834.735027011,20310369.270113718,12186911.088853018,15642647.001589952
M226T806_NEG,226.0004778151166,226.0003814720125,226.00056173132282,806.102,805.244,806.84,4,4,5883698.533781248,7769558.215773138,5824320.551088576,4837293.452285418
M226T700_NEG,226.00044543043532,226.00036936331423,226.00050543787805,699.7685,698.29,704.815,4,4,8393048.270006943,11432229.06523212,17680197.079046812,15461056.178885464
M226T723_NEG,226.00046834166764,226.00042428104027,226.00052353415066,722.524,722.501,723.023,3,3,8196147.119113129,8935879.548008515,11646741.216159258,NA
M226T898_NEG,226.00048533983812,226.00042487566256,226.0005458040137,897.729,896.231,899.227,2,2,6467893.172093782,NA,4211389.971678549,NA
M226T833_NEG,226.00048143576174,226.00045223309007,226.00051063843344,833.3235,829.805,836.842,2,2,4409119.301787694,4626858.992156243,NA,NA
M226T753_NEG,226.00040438449602,226.00033838033366,226.00047566299673,753.146,744.814,762.097,3,3,5960952.3561027,NA,4582541.6203124765,5262474.825035148
M226T457_NEG,226.04325219459383,226.04307034742564,226.043434041762,457.0135,456.563,457.464,2,2,NA,65094.65491552769,NA,97407.1442500002
M226T65_NEG,226.0648282731383,226.06468426594623,226.0648551137228,64.9297,64.5439,65.3462,4,4,1272689.6527171857,1289884.2052552083,1186508.1321249998,1081313.4649765617
M226T107_NEG,226.06026467947225,226.06003547623334,226.06046166370578,106.85,106.739,106.91,4,4,447804.1546649307,447928.53470870614,415949.38107421884,429650.5560117187
M226T450_NEG,226.06803942996288,226.06784022063255,226.06825316923678,449.9815,449.864,450.158,4,4,328953.14460117347,366275.87737475574,316853.163114581,427557.6488613275
M226T393_NEG,226.11647590104397,226.11639833735347,226.11656922509908,392.50350000000003,392.426,392.688,4,4,2942528.6889715972,2975210.8736718735,3002834.5188125134,3009996.201793754
M227T69_NEG,226.9232713225449,226.92316850560394,226.92331184968216,68.57455,68.4985,69.401,4,4,1080903.5551446443,1156236.4808261732,1071458.909907334,1132725.9907651036
M227T937_NEG,226.96575815420908,226.96567103906122,226.96611424071793,937.4715,936.442,937.661,4,4,2086243.649478508,2318771.723960147,2505031.2837468814,2710872.1495222347
M227T63_NEG,226.96544396299558,226.96540463476404,226.96550722119164,62.92205,62.915,62.9366,4,4,3974467.46980281,3650789.953887186,2619717.180290004,3084638.4889506274
M227T101_NEG,226.98077666312145,226.9807656195697,226.9807962182403,100.984,100.315,101.102,3,3,487014.26839687396,NA,960521.5934375015,752724.2097874993
M227T115_NEG,227.01721460592466,227.0171749924473,227.0173272664186,114.6465,114.259,115.085,4,4,1573028.7617826718,1346461.3275887775,1280240.757292189,1353522.4096874993
M227T514_NEG,227.09214701213008,227.09208473930494,227.09230831880248,514.207,513.982,514.698,3,3,1473177.9963187482,NA,851220.2168449477,811382.4628766725
M227T539_NEG,227.12848297873126,227.1284603808129,227.12857570315697,539.0930000000001,538.837,539.791,4,4,1633421.818894231,1499717.701369313,1415319.6119858576,1952073.4022045508
M227T387_NEG,227.12843016949523,227.12838566811217,227.12847929815777,386.6915,385.786,386.879,4,4,1142916.539690104,1491721.3033035162,1600039.404462888,1122121.0516015629
M227T413_NEG,227.12845751458616,227.12844312046084,227.12848508405608,412.5325,409.975,413.369,4,4,1760414.258451033,1760225.3267416793,1794047.312439235,1430359.5180765651
M227T703_NEG,227.12849435218166,227.12833322258348,227.12852190426705,703.219,699.647,704.069,4,4,1771485.6747451914,1656328.7922685544,3861919.8878620467,1412822.8397205854
M227T655_NEG,227.12850765436679,227.12847788419714,227.12853742453646,655.222,654.891,655.553,2,2,1318164.9379908813,1437284.0620377066,NA,NA
M228T982_NEG,227.89411898867363,227.89403712948348,227.89418949355576,982.381,976.305,991.223,5,4,2037519.2683826478,1128125.6710470414,1164385.6916464858,789638.3728125002
M228T1063_NEG,227.89407642430902,227.89396802387293,227.89414105078066,1062.95,1046.24,1077.43,6,4,1132624.21111328,660426.2291325483,804670.8325411186,491960.2628267048
M228T1011_NEG,227.89404489011915,227.89402814632035,227.89406163391794,1011.17,1008.42,1013.92,2,2,NA,595765.7890364559,772291.8308522732,NA
M228T1029_NEG,227.8940893889269,227.89400491053934,227.8941738673144,1029.4850000000001,1024.65,1034.32,2,2,1181186.1037114952,NA,NA,664803.7843800792
M228T69_1_NEG,227.93059415942764,227.9303299265878,227.93067730964708,69.35125,68.5873,69.401,4,4,2256003.4236017345,2070166.2050166673,2029713.6324400003,2121360.456366093
M228T931_NEG,228.0161284453423,228.01591151016638,228.01629280717935,930.5989999999999,930.002,931.151,4,4,4075366.4693139195,5783033.182126599,4607287.021385439,5932579.193555255
M228T700_NEG,228.0161442983063,228.01576620260525,228.01636222644734,699.7185,697.477,699.892,4,4,2977841.836506241,4221998.094254447,5348121.969811762,6061399.585891139
M228T432_NEG,228.04870254656112,228.0483581972386,228.04894008203402,432.102,431.572,432.662,4,4,145724.4596386727,163653.15585937406,113802.30611718756,211604.7716938488
M228T119_NEG,228.05092021276232,228.0507693053438,228.05144529451044,119.2375,119.208,119.925,4,4,195288.68409821417,159932.56959179696,117692.93647109362,116904.06293203126
M228T416_NEG,228.063813355648,228.06363396130553,228.0638801033299,415.8405,414.9,415.998,4,4,131855.02377197353,109583.39485488136,96895.75445292995,79014.09069023441
M228T69_2_NEG,228.0834727264101,228.0833844647418,228.08350942304,68.53015,67.8325,68.6143,4,4,50786826.66267732,46191749.28634475,51870655.34662809,51261821.62125276
M228T538_NEG,228.13199112591678,228.13184113282276,228.13214111901078,538.2384999999999,538.131,538.346,2,2,77000.50025390682,NA,NA,87084.17483691314
M228T589_NEG,228.16024264275973,228.1601584850183,228.16034579009286,588.5125,588.057,588.905,4,4,1081516.42099002,1086198.5054404764,1173468.902706434,1082785.8982817288
M228T713_NEG,228.16015515723342,228.16015503570895,228.1602331643063,713.304,713.014,713.993,3,3,NA,403426.65678385325,442800.1638642591,432918.7962636698
M229T94_NEG,228.84571801474647,228.8457159760721,228.84582962306504,93.7365,93.6582,93.7616,3,3,183585.83849999972,NA,119974.0718813281,181143.1485433596
M229T931_NEG,229.00015872459392,229.0000977164739,229.00023269159723,931.4005,930.002,931.979,4,4,3313226.1637743413,3484238.466815212,3726605.2897181227,2721912.201807709
M229T76_NEG,228.99336536531507,228.9932771433499,228.99345358728021,76.14144999999999,74.8948,77.3881,2,2,NA,NA,1456043.4425827633,2333162.9686804065
M229T288_NEG,229.01173716701805,229.01159774238027,229.01188769268555,287.8345,286.991,288.021,4,4,1014493.2278812213,1011283.5696870758,1071319.8340292962,991799.8926441756
M229T219_NEG,229.01171790480583,229.0117113343708,229.01172447524084,219.42200000000003,218.133,220.711,2,2,235513.84865790268,187717.89081473218,NA,NA
